SETIAWATI,3,106
SHAFRAN,5,1
FRAN,11,1
RAN,122,14
AFIF,130,9
FIF,137,9
DINDA,6,202
MIRANDA,0,27
MJ,1,1
INDAH,4,516
NDAH,7,646
NILA,4,85
WAFROTUN,0,1
OTUN,4,96
TUN,21,831
AFLA,1,0
FLA,1,2
AFRIADI,5,0
IADI,705,52
HOSEA,3,0
OSEA,3,0
SEA,4,26
OKTAFIANUS,1,1
ANUS,53,4
NUS,140,11
KEVIN,99,4
EVIN,113,8
VIN,305,38
ANGJAIA,1,0
IVAN,127,3
VAN,369,9
IMANUEL,23,5
NUEL,37,5
UEL,66,6
HRISTIAN,43,3
TIAN,492,67
IAN,3005,675
TANGGUH,10,0
GGUH,10,0
GUH,161,6
PRABEKTI,1,0
EKTI,46,24
KTI,223,86
TRISEA,0,1
ISEA,0,1
NINDI,2,26
INDI,40,472
APRILEA,0,1
ILEA,1,4
LEA,3,14
SHIKILA,0,1
KILA,15,71
NABILA,9,386
BILA,25,846
DAFFA,100,7
AFFA,118,12
FFA,122,33
MARTINA,0,12
TINA,18,461
INA,102,3210
SUGIARTO,36,5
ARTO,151,18
RTO,167,20
TANIA,0,60
UTAMI,7,215
TAMI,21,266
AMI,129,385
JATNIKA,7,1
NIKA,20,140
WIJAIA,286,61
RISKA,25,346
ISKA,58,748
SKA,118,806
LESTARI,15,700
TARI,38,923
BAHRUL,38,1
ADIANTO,10,0
HANDRA,87,20
AULANNA,1,0
ANNA,14,84
NNA,27,128
DELIANA,0,8
SRI,139,837
RAHMAWATI,6,497
FADILA,16,115
RAMADAN,618,44
MOEKTIARTA,1,0
ARTA,72,53
RTA,107,76
PRASAJA,3,0
SAJA,4,0
AJA,126,15
NUDIA,0,1
UDIA,68,95
DIA,195,1119
RANDIANI,0,2
SAIDATUL,1,9
ATUL,127,1876
TUL,146,2193
FITRIA,5,289
TRIA,245,417
LULIS,0,2
ULIS,10,58
LIS,199,286
UJIANTI,0,1
AFRIKFIKRIANTO,1,0
SUWONO,2,1
WONO,28,2
ONO,1140,75
AINIA,0,5
INIA,0,53
FIRSA,9,6
IRSA,44,23
RSA,81,102
FAJRI,59,13
AJRI,74,15
JRI,78,15
ANISWATIN,0,1
ATIN,33,199
ANNASIHUL,1,0
IHUL,34,3
HUL,267,104
MUFID,27,0
UFID,29,0
FID,160,1
DEVIANA,0,14
DWI,1166,1386
IMELDA,0,39
ELDA,4,89
LDA,24,257
AIU,507,1886
ANDRIANI,6,130
ANITA,2,148
NITA,13,758
KARTIKA,7,174
MUHAMAD,6454,42
HANSA,8,30
ANSA,83,51
NSA,103,82
PRADANA,147,7
DANA,422,74
NIKEN,2,64
IKEN,3,68
KEN,10,73
ARUM,10,113
RUM,13,492
NADIAWATI,0,1
RUSTAM,6,3
STAM,11,3
TAM,21,5
UMI,7,213
SANGADAH,0,4
ADAH,4,197
PRATAMA,1049,61
EVI,67,508
NURSAFITRI,1,7
AAN,79,24
SAIFUDIN,75,1
UDIN,2054,33
DIN,2573,82
AMALIA,5,340
ALIA,31,840
NABILAH,2,72
EKA,335,632
SAFITRI,6,430
MARIA,2,83
